Des-I,Emp-I,Des-O,Emp-O,DIA,MES,AÑO,DIANOM,TIPOVUELO,day_period,is_high_season,delay_status
CYYZ,ACA,CYYZ,ACA,21,1,2017,Sabado,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,22,1,2017,Domingo,I,evening,True,False
CYYZ,ACA,CYYZ,ACA,23,1,2017,Lunes,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,24,1,2017,Martes,I,evening,True,False
CYYZ,ACA,CYYZ,ACA,25,1,2017,Miercoles,I,evening,True,False
CYYZ,ACA,CYYZ,ACA,26,1,2017,Jueves,I,evening,True,False
CYYZ,ACA,CYYZ,ACA,27,1,2017,Viernes,I,evening,True,False
CYYZ,ACA,CYYZ,ACA,28,1,2017,Sabado,I,evening,True,False
CYYZ,ACA,CYYZ,ACA,29,1,2017,Domingo,I,evening,True,False
CYYZ,ACA,CYYZ,ACA,30,1,2017,Lunes,I,evening,True,False
LFPG,AFR,LFPG,AFR,1,1,2017,Domingo,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,2,1,2017,Lunes,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,3,1,2017,Martes,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,4,1,2017,Miercoles,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,5,1,2017,Jueves,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,6,1,2017,Viernes,I,afternoon,True,True
LFPG,AFR,LFPG,AFR,7,1,2017,Sabado,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,8,1,2017,Domingo,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,9,1,2017,Lunes,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,10,1,2017,Martes,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,11,1,2017,Miercoles,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,12,1,2017,Jueves,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,13,1,2017,Viernes,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,14,1,2017,Sabado,I,afternoon,True,True
LFPG,AFR,LFPG,AFR,15,1,2017,Domingo,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,16,1,2017,Lunes,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,17,1,2017,Martes,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,18,1,2017,Miercoles,I,afternoon,True,True
LFPG,AFR,LFPG,AFR,19,1,2017,Jueves,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,20,1,2017,Viernes,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,21,1,2017,Sabado,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,22,1,2017,Domingo,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,23,1,2017,Lunes,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,24,1,2017,Martes,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,25,1,2017,Miercoles,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,26,1,2017,Jueves,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,27,1,2017,Viernes,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,28,1,2017,Sabado,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,29,1,2017,Domingo,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,30,1,2017,Lunes,I,afternoon,True,False
LFPG,AFR,LFPG,AFR,31,1,2017,Martes,I,afternoon,True,False
MMMX,AMX,MMMX,AMX,1,1,2017,Domingo,I,evening,True,False
MMMX,AMX,MMMX,AMX,2,1,2017,Lunes,I,evening,True,False
MMMX,AMX,MMMX,AMX,3,1,2017,Martes,I,evening,True,False
MMMX,AMX,MMMX,AMX,4,1,2017,Miercoles,I,evening,True,False
MMMX,AMX,MMMX,AMX,5,1,2017,Jueves,I,evening,True,False
MMMX,AMX,MMMX,AMX,6,1,2017,Viernes,I,evening,True,False
MMMX,AMX,MMMX,AMX,7,1,2017,Sabado,I,evening,True,False
MMMX,AMX,MMMX,AMX,8,1,2017,Domingo,I,evening,True,False
MMMX,AMX,MMMX,AMX,9,1,2017,Lunes,I,evening,True,False
MMMX,AMX,MMMX,AMX,10,1,2017,Martes,I,evening,True,False
MMMX,AMX,MMMX,AMX,11,1,2017,Miercoles,I,evening,True,False
MMMX,AMX,MMMX,AMX,12,1,2017,Jueves,I,evening,True,False
MMMX,AMX,MMMX,AMX,13,1,2017,Viernes,I,evening,True,False
MMMX,AMX,MMMX,AMX,14,1,2017,Sabado,I,evening,True,False
MMMX,AMX,MMMX,AMX,15,1,2017,Domingo,I,evening,True,False
MMMX,AMX,MMMX,AMX,16,1,2017,Lunes,I,evening,True,False
MMMX,AMX,MMMX,AMX,17,1,2017,Martes,I,evening,True,False
MMMX,AMX,MMMX,AMX,18,1,2017,Miercoles,I,evening,True,False
MMMX,AMX,MMMX,AMX,19,1,2017,Jueves,I,evening,True,False
MMMX,AMX,MMMX,AMX,21,1,2017,Sabado,I,evening,True,True
MMMX,AMX,MMMX,AMX,21,1,2017,Sabado,I,evening,True,False
MMMX,AMX,MMMX,AMX,22,1,2017,Domingo,I,evening,True,False
MMMX,AMX,MMMX,AMX,23,1,2017,Lunes,I,evening,True,False
MMMX,AMX,MMMX,AMX,24,1,2017,Martes,I,evening,True,False
MMMX,AMX,MMMX,AMX,25,1,2017,Miercoles,I,evening,True,False
MMMX,AMX,MMMX,AMX,26,1,2017,Jueves,I,evening,True,False
MMMX,AMX,MMMX,AMX,27,1,2017,Viernes,I,evening,True,False
MMMX,AMX,MMMX,AMX,28,1,2017,Sabado,I,evening,True,False
MMMX,AMX,MMMX,AMX,29,1,2017,Domingo,I,evening,True,False
MMMX,AMX,MMMX,AMX,30,1,2017,Lunes,I,evening,True,False
MMMX,AMX,MMMX,AMX,31,1,2017,Martes,I,evening,True,False
MMMX,AMX,MMMX,AMX,9,1,2017,Lunes,I,evening,True,False
SABE,ARG,SABE,ARG,1,1,2017,Domingo,I,morning,True,False
SABE,ARG,SABE,ARG,2,1,2017,Lunes,I,morning,True,False
SABE,ARG,SABE,ARG,3,1,2017,Martes,I,morning,True,False
SABE,ARG,SABE,ARG,4,1,2017,Miercoles,I,morning,True,True
SABE,ARG,SABE,ARG,5,1,2017,Jueves,I,morning,True,True
SABE,ARG,SABE,ARG,6,1,2017,Viernes,I,morning,True,False
SABE,ARG,SABE,ARG,7,1,2017,Sabado,I,morning,True,False
SABE,ARG,SABE,ARG,8,1,2017,Domingo,I,morning,True,False
SABE,ARG,SABE,ARG,9,1,2017,Lunes,I,morning,True,True
SABE,ARG,SABE,ARG,10,1,2017,Martes,I,morning,True,False
SABE,ARG,SABE,ARG,11,1,2017,Miercoles,I,morning,True,False
SABE,ARG,SABE,ARG,12,1,2017,Jueves,I,morning,True,False
SABE,ARG,SABE,ARG,13,1,2017,Viernes,I,morning,True,True
SABE,ARG,SABE,ARG,14,1,2017,Sabado,I,morning,True,True
SABE,ARG,SABE,ARG,15,1,2017,Domingo,I,morning,True,True
SABE,ARG,SABE,ARG,16,1,2017,Lunes,I,morning,True,False
SABE,ARG,SABE,ARG,17,1,2017,Martes,I,morning,True,False
SABE,ARG,SABE,ARG,18,1,2017,Miercoles,I,morning,True,True
SABE,ARG,SABE,ARG,19,1,2017,Jueves,I,morning,True,False
SABE,ARG,SABE,ARG,20,1,2017,Viernes,I,morning,True,False
SABE,ARG,SABE,ARG,21,1,2017,Sabado,I,morning,True,False
SABE,ARG,SABE,ARG,23,1,2017,Lunes,I,morning,True,False
SABE,ARG,SABE,ARG,24,1,2017,Martes,I,morning,True,False
SABE,ARG,SABE,ARG,25,1,2017,Miercoles,I,morning,True,False
SABE,ARG,SABE,ARG,26,1,2017,Jueves,I,morning,True,False
SABE,ARG,SABE,ARG,27,1,2017,Viernes,I,morning,True,False
SABE,ARG,SABE,ARG,30,1,2017,Lunes,I,morning,True,False
SABE,ARG,SABE,ARG,31,1,2017,Martes,I,morning,True,False
SABE,ARG,SABE,ARG,2,1,2017,Lunes,I,morning,True,False
SABE,ARG,SABE,ARG,3,1,2017,Martes,I,morning,True,False
SABE,ARG,SABE,ARG,4,1,2017,Miercoles,I,morning,True,True
SABE,ARG,SABE,ARG,5,1,2017,Jueves,I,morning,True,False
SABE,ARG,SABE,ARG,6,1,2017,Viernes,I,morning,True,False
SABE,ARG,SABE,ARG,7,1,2017,Sabado,I,morning,True,False
SABE,ARG,SABE,ARG,9,1,2017,Lunes,I,morning,True,False
SABE,ARG,SABE,ARG,10,1,2017,Martes,I,morning,True,False
SABE,ARG,SABE,ARG,11,1,2017,Miercoles,I,morning,True,False
SABE,ARG,SABE,ARG,12,1,2017,Jueves,I,morning,True,False
SABE,ARG,SABE,ARG,13,1,2017,Viernes,I,morning,True,False
SABE,ARG,SABE,ARG,14,1,2017,Sabado,I,morning,True,False
SABE,ARG,SABE,ARG,16,1,2017,Lunes,I,morning,True,True
SABE,ARG,SABE,ARG,17,1,2017,Martes,I,morning,True,False
SABE,ARG,SABE,ARG,18,1,2017,Miercoles,I,morning,True,False
SABE,ARG,SABE,ARG,19,1,2017,Jueves,I,morning,True,False
SABE,ARG,SABE,ARG,20,1,2017,Viernes,I,morning,True,True
SABE,ARG,SABE,ARG,21,1,2017,Sabado,I,morning,True,False
SABE,ARG,SABE,ARG,23,1,2017,Lunes,I,morning,True,False
SABE,ARG,SABE,ARG,24,1,2017,Martes,I,morning,True,False
SABE,ARG,SABE,ARG,25,1,2017,Miercoles,I,morning,True,True
SABE,ARG,SABE,ARG,26,1,2017,Jueves,I,morning,True,False
SABE,ARG,SABE,ARG,27,1,2017,Viernes,I,morning,True,False
SABE,ARG,SABE,ARG,28,1,2017,Sabado,I,morning,True,False
SABE,ARG,SABE,ARG,30,1,2017,Lunes,I,morning,True,False
SABE,ARG,SABE,ARG,1,1,2017,Domingo,I,afternoon,True,False
SABE,ARG,SABE,ARG,2,1,2017,Lunes,I,afternoon,True,False
SABE,ARG,SABE,ARG,3,1,2017,Martes,I,afternoon,True,True
SABE,ARG,SABE,ARG,4,1,2017,Miercoles,I,afternoon,True,False
SABE,ARG,SABE,ARG,5,1,2017,Jueves,I,afternoon,True,False
SABE,ARG,SABE,ARG,6,1,2017,Viernes,I,afternoon,True,False
SABE,ARG,SABE,ARG,7,1,2017,Sabado,I,afternoon,True,False
SABE,ARG,SABE,ARG,8,1,2017,Domingo,I,afternoon,True,False
SABE,ARG,SABE,ARG,9,1,2017,Lunes,I,afternoon,True,False
SABE,ARG,SABE,ARG,10,1,2017,Martes,I,afternoon,True,False
SABE,ARG,SABE,ARG,11,1,2017,Miercoles,I,afternoon,True,False
SABE,ARG,SABE,ARG,12,1,2017,Jueves,I,afternoon,True,True
SABE,ARG,SABE,ARG,13,1,2017,Viernes,I,afternoon,True,False
SABE,ARG,SABE,ARG,14,1,2017,Sabado,I,afternoon,True,False
SABE,ARG,SABE,ARG,15,1,2017,Domingo,I,afternoon,True,False
SABE,ARG,SABE,ARG,16,1,2017,Lunes,I,afternoon,True,False
SABE,ARG,SABE,ARG,17,1,2017,Martes,I,afternoon,True,False
SABE,ARG,SABE,ARG,18,1,2017,Miercoles,I,afternoon,True,False
SABE,ARG,SABE,ARG,19,1,2017,Jueves,I,afternoon,True,False
SABE,ARG,SABE,ARG,20,1,2017,Viernes,I,afternoon,True,False
SABE,ARG,SABE,ARG,21,1,2017,Sabado,I,afternoon,True,False
SABE,ARG,SABE,ARG,22,1,2017,Domingo,I,afternoon,True,False
SABE,ARG,SABE,ARG,23,1,2017,Lunes,I,afternoon,True,False
SABE,ARG,SABE,ARG,24,1,2017,Martes,I,afternoon,True,False
SABE,ARG,SABE,ARG,25,1,2017,Miercoles,I,afternoon,True,False
SABE,ARG,SABE,ARG,26,1,2017,Jueves,I,afternoon,True,False
SABE,ARG,SABE,ARG,27,1,2017,Viernes,I,afternoon,True,False
SABE,ARG,SABE,ARG,28,1,2017,Sabado,I,afternoon,True,False
SABE,ARG,SABE,ARG,29,1,2017,Domingo,I,afternoon,True,False
SABE,ARG,SABE,ARG,30,1,2017,Lunes,I,afternoon,True,False
SABE,ARG,SABE,ARG,31,1,2017,Martes,I,afternoon,True,False
SAEZ,ARG,SAEZ,ARG,1,1,2017,Domingo,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,2,1,2017,Lunes,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,3,1,2017,Martes,I,evening,True,True
SAEZ,ARG,SAEZ,ARG,4,1,2017,Miercoles,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,5,1,2017,Jueves,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,6,1,2017,Viernes,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,7,1,2017,Sabado,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,8,1,2017,Domingo,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,9,1,2017,Lunes,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,10,1,2017,Martes,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,11,1,2017,Miercoles,I,evening,True,True
SAEZ,ARG,SAEZ,ARG,12,1,2017,Jueves,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,13,1,2017,Viernes,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,14,1,2017,Sabado,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,15,1,2017,Domingo,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,16,1,2017,Lunes,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,17,1,2017,Martes,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,18,1,2017,Miercoles,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,19,1,2017,Jueves,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,20,1,2017,Viernes,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,22,1,2017,Domingo,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,23,1,2017,Lunes,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,24,1,2017,Martes,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,25,1,2017,Miercoles,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,27,1,2017,Viernes,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,28,1,2017,Sabado,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,29,1,2017,Domingo,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,30,1,2017,Lunes,I,evening,True,False
SAEZ,ARG,SAEZ,ARG,31,1,2017,Martes,I,evening,True,False
SABE,ARG,SABE,ARG,8,1,2017,Domingo,I,morning,True,True
SABE,ARG,SABE,ARG,15,1,2017,Domingo,I,morning,True,False
SABE,ARG,SABE,ARG,22,1,2017,Domingo,I,morning,True,False
SABE,ARG,SABE,ARG,29,1,2017,Domingo,I,morning,True,False
SABE,ARG,SABE,ARG,1,1,2017,Domingo,I,evening,True,False
SABE,ARG,SABE,ARG,2,1,2017,Lunes,I,evening,True,False
SABE,ARG,SABE,ARG,3,1,2017,Martes,I,evening,True,True
SABE,ARG,SABE,ARG,4,1,2017,Miercoles,I,evening,True,True
SABE,ARG,SABE,ARG,5,1,2017,Jueves,I,evening,True,False
SABE,ARG,SABE,ARG,6,1,2017,Viernes,I,evening,True,False
SABE,ARG,SABE,ARG,8,1,2017,Domingo,I,evening,True,False
SABE,ARG,SABE,ARG,9,1,2017,Lunes,I,evening,True,True
SABE,ARG,SABE,ARG,10,1,2017,Martes,I,evening,True,False
SABE,ARG,SABE,ARG,11,1,2017,Miercoles,I,evening,True,False
SABE,ARG,SABE,ARG,12,1,2017,Jueves,I,evening,True,False
SABE,ARG,SABE,ARG,13,1,2017,Viernes,I,evening,True,True
SABE,ARG,SABE,ARG,15,1,2017,Domingo,I,evening,True,False
SABE,ARG,SABE,ARG,16,1,2017,Lunes,I,evening,True,False
SABE,ARG,SABE,ARG,17,1,2017,Martes,I,evening,True,False
SABE,ARG,SABE,ARG,18,1,2017,Miercoles,I,evening,True,False
SABE,ARG,SABE,ARG,19,1,2017,Jueves,I,evening,True,False
SABE,ARG,SABE,ARG,20,1,2017,Viernes,I,evening,True,False
SABE,ARG,SABE,ARG,22,1,2017,Domingo,I,evening,True,False
SABE,ARG,SABE,ARG,23,1,2017,Lunes,I,evening,True,True
SABE,ARG,SABE,ARG,24,1,2017,Martes,I,evening,True,False
SABE,ARG,SABE,ARG,25,1,2017,Miercoles,I,evening,True,False
SABE,ARG,SABE,ARG,27,1,2017,Viernes,I,evening,True,True
SABE,ARG,SABE,ARG,29,1,2017,Domingo,I,evening,True,False
SABE,ARG,SABE,ARG,30,1,2017,Lunes,I,evening,True,False
SABE,AUT,SABE,AUT,7,1,2017,Sabado,I,evening,True,False
SABE,AUT,SABE,AUT,14,1,2017,Sabado,I,evening,True,False
SABE,AUT,SABE,ARG,21,1,2017,Sabado,I,evening,True,False
SABE,AUT,SABE,AUT,28,1,2017,Sabado,I,evening,True,False
SKBO,AVA,SKBO,AVA,1,1,2017,Domingo,I,morning,True,False
SKBO,AVA,SKBO,AVA,2,1,2017,Lunes,I,morning,True,False
SKBO,AVA,SKBO,AVA,3,1,2017,Martes,I,morning,True,True
SKBO,AVA,SKBO,AVA,5,1,2017,Jueves,I,afternoon,True,True
SKBO,AVA,SKBO,AVA,7,1,2017,Sabado,I,morning,True,True
